Imatest,4.5.13, , CPIQ Dot Chart Analysis
File,DotPattern_1.PNG
Run date,18-Jul-2017 10:37:10,,Build 2017-02-01

FOV Analysis

Dot Separation, 10.000000, cm,
Target Distance, 100.000000, cm,
HFOV, 88.984253, degrees,
VFOV, 75.001237, degrees,
DFOV, 106.622497, degrees,

Lateral Color Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum LCA CPIQ Metric, 0.607771
CPIQ Quality Loss, 0.000000
Maximum LCA in Pixels, 0.759714
Number of Dots, 298

Radial Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
, 359.515104, 359.047527, 358.283617
, 360.266902, 359.799314, 359.035404
, 314.523684, 314.105528, 313.423107
, 315.173965, 314.755402, 314.072978
, 276.888931, 276.507861, 275.901506
, 277.384099, 277.003027, 276.396681
, 251.153735, 250.808171, 250.253841
, 241.977933, 241.641553, 241.092613
, 251.430162, 251.082228, 250.527899
, 538.225453, 537.581411, 536.548852
, 539.066220, 538.422073, 537.389512
, 491.662037, 491.058120, 490.089343
, 492.461470, 491.857533, 490.888753
, 446.289781, 445.741569, 444.843564
, 447.032434, 446.484178, 445.586261
, 403.586031, 403.070041, 402.229648
, 404.249654, 403.733672, 402.893294
, 365.599004, 365.133183, 364.355882
, 366.152912, 365.687126, 364.909833
, 335.027621, 334.579373, 333.857565
, 335.433033, 334.984798, 334.263006
, 314.903952, 314.476670, 313.799196
, 307.909897, 307.498799, 306.834759
, 315.120492, 314.693228, 314.015780
, 570.230860, 569.559232, 568.488080
, 571.016692, 570.344993, 569.273862
, 528.172997, 527.546736, 526.528779
, 528.909566, 528.283292, 527.265342
, 487.955569, 487.355979, 486.394827
, 488.627595, 488.028006, 487.066844
, 450.890428, 450.327034, 449.415741
, 451.478009, 450.914575, 450.003330
, 418.733219, 418.193872, 417.327912
, 419.211635, 418.672086, 417.806017
, 393.499610, 392.995016, 392.180804
, 393.840807, 393.336234, 392.522050
, 377.307715, 376.828544, 376.033849
, 371.771764, 371.296002, 370.500176
, 377.486182, 377.007178, 376.212507
, 605.056536, 604.366489, 603.252481
, 605.788764, 605.098744, 603.984738
, 567.301842, 566.642985, 565.574743
, 567.979545, 567.320693, 566.252453
, 531.764120, 531.126831, 530.094229
, 532.373525, 531.735948, 530.703345
, 499.602125, 498.992076, 498.004843
, 500.125645, 499.515597, 498.528375
, 472.220650, 471.639348, 470.699460
, 472.639249, 472.057876, 471.118035
, 451.150682, 450.585460, 449.669033
, 451.444328, 450.879110, 449.962691
, 437.819455, 437.272435, 436.385028
, 437.970955, 437.424263, 436.536874
, 433.287399, 432.745202, 431.867993
, 641.738280, 641.024205, 639.877023
, 642.420369, 641.706011, 640.558819
, 607.922931, 607.231578, 606.122224
, 608.547092, 607.855741, 606.746380
, 576.538275, 575.873945, 574.794184
, 577.092429, 576.428107, 575.348335
, 548.557821, 547.908199, 546.859328
, 549.027886, 548.378279, 547.329407
, 525.079895, 524.449843, 523.436229
, 525.450710, 524.820780, 523.807179
, 507.269782, 506.659666, 505.668622
, 507.527108, 506.917001, 505.925982
, 496.113442, 495.505342, 494.533371
, 496.245619, 495.637293, 494.665332
, 492.341238, 491.742732, 490.781651
, 679.537223, 678.797707, 677.609368
, 680.172443, 679.432925, 678.244574
, 649.249668, 648.534640, 647.377282
, 649.825836, 649.110817, 647.953455
, 621.471195, 620.775722, 619.646095
, 621.977634, 621.282216, 620.152571
, 597.005892, 596.327851, 595.234765
, 597.431224, 596.753195, 595.660110
, 576.720148, 576.052835, 574.988899
, 577.052601, 576.385286, 575.321372
, 561.516420, 560.863169, 559.807208
, 561.745164, 561.091919, 560.035972
, 552.061295, 551.414043, 550.375115
